batter,bowler,matchup_balls,matchup_runs,matchup_dismissals,matchup_sr,matchup_avg
A Ashish Reddy,A Nehra,8,7,1,87.5,7.0
A Ashish Reddy,AB Dinda,7,9,0,128.6,9.0
A Ashish Reddy,AD Mathews,12,25,0,208.3,25.0
A Ashish Reddy,AD Russell,3,4,1,,4.0
A Ashish Reddy,Anureet Singh,2,2,0,,2.0
A Ashish Reddy,Azhar Mahmood,3,2,0,,2.0
A Ashish Reddy,B Kumar,1,1,0,,1.0
A Ashish Reddy,BW Hilfenhaus,2,2,1,,2.0
A Ashish Reddy,CH Morris,5,11,0,,11.0
A Ashish Reddy,DJ Bravo,13,24,1,184.6,24.0
A Ashish Reddy,Harbhajan Singh,8,11,0,137.5,11.0
A Ashish Reddy,Imran Tahir,2,2,0,,2.0
A Ashish Reddy,J Botha,2,0,0,,0.0
A Ashish Reddy,JEC Franklin,3,3,0,,3.0
A Ashish Reddy,JP Duminy,1,1,0,,1.0
A Ashish Reddy,JP Faulkner,2,2,0,,2.0
A Ashish Reddy,KA Pollard,3,3,1,,3.0
A Ashish Reddy,KK Cooper,5,8,0,,8.0
A Ashish Reddy,M Kartik,8,6,0,75.0,6.0
A Ashish Reddy,M Morkel,5,5,1,,5.0
A Ashish Reddy,MG Johnson,3,7,0,,7.0
A Ashish Reddy,MM Patel,2,0,1,,0.0
A Ashish Reddy,MM Sharma,2,7,0,,7.0
A Ashish Reddy,MR Marsh,3,3,0,,3.0
A Ashish Reddy,MS Gony,4,5,0,,5.0
A Ashish Reddy,NM Coulter-Nile,1,0,1,,0.0
A Ashish Reddy,P Awana,2,0,1,,0.0
A Ashish Reddy,P Kumar,4,6,0,,6.0
A Ashish Reddy,PP Chawla,2,2,0,,2.0
A Ashish Reddy,PV Tambe,4,3,0,,3.0
A Ashish Reddy,Parvez Rasool,9,18,0,200.0,18.0
A Ashish Reddy,R Vinay Kumar,10,14,2,140.0,7.0
A Ashish Reddy,RJ Peterson,5,7,0,,7.0
A Ashish Reddy,RP Singh,2,1,1,,1.0
A Ashish Reddy,SL Malinga,4,3,0,,3.0
A Ashish Reddy,SMSM Senanayake,4,3,1,,3.0
A Ashish Reddy,SP Narine,1,1,0,,1.0
A Ashish Reddy,SR Watson,5,3,1,,3.0
A Ashish Reddy,STR Binny,4,4,1,,4.0
A Ashish Reddy,SW Tait,4,10,0,,10.0
A Ashish Reddy,Sandeep Sharma,3,13,0,,13.0
A Ashish Reddy,TG Southee,4,9,0,,9.0
A Ashish Reddy,UT Yadav,9,20,0,222.2,20.0
A Ashish Reddy,YS Chahal,7,13,0,185.7,13.0
A Badoni,A Zampa,3,2,1,,2.0
A Badoni,AD Russell,13,22,0,169.2,22.0
A Badoni,AR Patel,10,11,0,110.0,11.0
A Badoni,AS Joseph,4,5,0,,5.0
A Badoni,Akash Madhwal,4,0,1,,0.0
A Badoni,Arshdeep Singh,12,13,1,108.3,13.0
A Badoni,Ashwani Kumar,2,4,1,,4.0
A Badoni,Avesh Khan,2,2,0,,2.0
A Badoni,Azmatullah Omarzai,12,21,0,175.0,21.0
A Badoni,B Kumar,4,4,0,,4.0
A Badoni,C Bosch,6,6,0,100.0,6.0
A Badoni,C Sakariya,4,13,1,,13.0
A Badoni,CV Varun,16,18,0,112.5,18.0
A Badoni,DG Nalkande,1,2,0,,2.0
A Badoni,DJ Bravo,4,5,0,,5.0
A Badoni,DJ Willey,4,6,0,,6.0
A Badoni,DL Chahar,10,27,0,270.0,27.0
A Badoni,E Malinga,2,0,1,,0.0
A Badoni,G Coetzee,5,5,0,,5.0
A Badoni,GJ Maxwell,6,5,0,83.3,5.0
A Badoni,Gurnoor Brar,3,11,0,,11.0
A Badoni,HH Pandya,14,20,1,142.9,20.0
A Badoni,HV Patel,6,5,0,83.3,5.0
A Badoni,Harpreet Brar,3,2,0,,2.0
A Badoni,Harshit Rana,7,7,0,100.0,7.0
A Badoni,I Sharma,9,10,0,111.1,10.0
A Badoni,J Overton,5,13,0,,13.0
A Badoni,JD Unadkat,6,4,0,66.7,4.0
A Badoni,JJ Bumrah,5,3,0,,3.0
A Badoni,JO Holder,1,0,0,,0.0
A Badoni,JR Hazlewood,9,3,2,33.3,1.5
A Badoni,K Rabada,8,8,1,100.0,8.0
A Badoni,KK Ahmed,5,12,0,,12.0
A Badoni,KR Sen,2,2,0,,2.0
A Badoni,KV Sharma,12,28,0,233.3,28.0
A Badoni,Kuldeep Yadav,14,13,1,92.9,13.0
A Badoni,LH Ferguson,14,23,0,164.3,23.0
A Badoni,LS Livingstone,2,6,1,,6.0
A Badoni,M Jansen,13,16,0,123.1,16.0
A Badoni,M Pathirana,10,10,0,100.0,10.0
A Badoni,M Prasidh Krishna,5,2,0,,2.0
A Badoni,M Theekshana,18,35,0,194.4,35.0
A Badoni,MA Starc,6,7,0,116.7,7.0
A Badoni,MJ Santner,8,15,0,187.5,15.0
A Badoni,MM Ali,7,6,0,85.7,6.0
A Badoni,MM Sharma,12,23,1,191.7,23.0
A Badoni,MP Stoinis,7,4,0,57.1,4.0
A Badoni,Mohammed Shami,11,16,0,145.5,16.0
A Badoni,Mohammed Siraj,18,21,0,116.7,21.0
A Badoni,Mukesh Choudhary,3,7,0,,7.0
A Badoni,Mukesh Kumar,24,43,1,179.2,43.0
A Badoni,N Burger,1,0,1,,0.0
A Badoni,N Thushara,3,4,0,,4.0
A Badoni,Noor Ahmad,6,7,0,116.7,7.0
A Badoni,PJ Cummins,7,10,0,142.9,10.0
A Badoni,PP Chawla,4,2,0,,2.0
A Badoni,PVD Chameera,4,8,0,,8.0
A Badoni,PWH de Silva,13,14,0,107.7,14.0
A Badoni,R Ashwin,8,11,0,137.5,11.0
A Badoni,R Sai Kishore,4,11,1,,11.0
A Badoni,R Shepherd,14,29,1,207.1,29.0
A Badoni,RA Jadeja,10,9,1,90.0,9.0
A Badoni,RD Chahar,9,12,0,133.3,12.0
A Badoni,RJW Topley,2,0,0,,0.0
A Badoni,RP Meredith,4,9,1,,9.0
A Badoni,RS Hangargekar,3,5,0,,5.0
A Badoni,Rashid Khan,27,28,1,103.7,28.0
A Badoni,S Dube,2,7,0,,7.0
A Badoni,SH Johnson,2,5,0,,5.0
A Badoni,SM Curran,14,18,1,128.6,18.0
A Badoni,SN Thakur,3,10,0,,10.0
A Badoni,SP Narine,30,30,3,100.0,10.0
A Badoni,Sandeep Sharma,12,21,0,175.0,21.0
A Badoni,Shivam Mavi,1,1,0,,1.0
A Badoni,Simarjeet Singh,2,4,0,,4.0
A Badoni,Suyash Sharma,1,1,0,,1.0
A Badoni,T Natarajan,18,38,0,211.1,38.0
A Badoni,T Stubbs,3,2,1,,2.0
A Badoni,TA Boult,13,7,3,53.8,2.3
A Badoni,TG Southee,6,3,1,50.0,3.0
A Badoni,TU Deshpande,19,23,2,121.1,11.5
A Badoni,V Puthur,4,5,0,,5.0
A Badoni,V Viyaskanth,2,5,0,,5.0
A Badoni,VG Arora,2,2,0,,2.0
A Badoni,VR Aaron,3,2,1,,2.0
A Badoni,Vijaykumar Vyshak,13,38,0,292.3,38.0
A Badoni,WD Parnell,5,7,1,,7.0
A Badoni,WG Jacks,3,3,0,,3.0
A Badoni,Washington Sundar,7,9,0,128.6,9.0
A Badoni,YS Chahal,17,17,2,100.0,8.5
A Badoni,Yash Dayal,1,0,1,,0.0
A Chandila,R Rampaul,2,1,0,,1.0
A Chandila,R Vinay Kumar,2,1,0,,1.0
A Chandila,RP Singh,2,2,0,,2.0
A Chandila,V Pratap Singh,1,0,1,,0.0
A Chopra,DP Vijaykumar,5,1,0,,1.0
A Chopra,DW Steyn,4,1,1,,1.0
A Chopra,GD McGrath,4,2,0,,2.0
A Chopra,Harmeet Singh,7,4,0,57.1,4.0
A Chopra,JR Hopes,2,1,1,,1.0
A Chopra,PJ Sangwan,9,6,1,66.7,6.0
A Chopra,PP Chawla,1,1,0,,1.0
A Chopra,PP Ojha,6,3,1,50.0,3.0
A Chopra,RP Singh,5,9,0,,9.0
A Chopra,SB Bangar,4,9,0,,9.0
A Chopra,SB Styris,7,5,0,71.4,5.0
A Chopra,SM Pollock,4,1,0,,1.0
A Chopra,VY Mahesh,4,5,0,,5.0
A Chopra,WPUJC Vaas,2,1,0,,1.0
A Chopra,Y Venugopal Rao,6,3,1,50.0,3.0
A Chopra,Z Khan,1,1,0,,1.0
A Choudhary,AJ Tye,3,2,0,,2.0
A Choudhary,AR Patel,2,2,0,,2.0
A Choudhary,BCJ Cutting,2,6,1,,6.0
A Choudhary,Basil Thampi,4,8,0,,8.0
A Choudhary,JP Faulkner,5,5,0,,5.0
A Choudhary,MM Sharma,4,2,1,,2.0
A Dananjaya,Mohammed Shami,3,2,0,,2.0
