rolling_avg_5,rolling_avg_10,rolling_sr_5,rolling_sr_10,innings_count,career_avg,consistency,bat_pos,innings,is_playoff,toss_bat_first,venue_avg,vs_team_avg,venue_overall_avg,is_home,opp_bowling_econ,opp_bowling_sr,runs,batter,match_id,date,season
11.0,11.0,123.14999999999999,123.14999999999999,3,9.0,7.0,6,2,1,0,9.0,9.0,21.60915867944622,0,7.1,19.34,4,A Ashish Reddy,598013,2013-04-14,2013
9.25,9.25,112.3625,112.3625,4,8.285714285714286,6.701989754294367,9,1,1,0,8.285714285714286,8.285714285714286,22.127659574468087,0,7.73,22.47,19,A Ashish Reddy,598018,2013-04-17,2013
11.2,11.2,115.224,115.224,5,9.625,7.259476565152615,7,2,1,0,14.0,9.625,20.222816399286987,0,7.36,22.83,7,A Ashish Reddy,598021,2013-04-19,2013
9.8,10.5,111.88999999999999,112.68666666666667,6,9.333333333333334,6.715653356152326,8,1,1,1,9.333333333333334,9.333333333333334,21.834234234234234,0,7.27,16.64,36,A Ashish Reddy,598030,2013-04-25,2013
16.4,14.142857142857142,141.89000000000001,128.73142857142858,7,12.0,11.422617496711972,9,1,1,1,12.0,12.0,22.164,0,7.02,18.73,14,A Ashish Reddy,598032,2013-04-27,2013
16.0,14.125,131.788,128.54875,8,12.181818181818182,10.575409482109226,3,2,1,0,10.5,16.0,20.222816399286987,0,7.62,24.29,5,A Ashish Reddy,598044,2013-05-04,2013
16.2,13.11111111111111,132.454,123.52444444444444,9,11.583333333333334,10.349449797506683,7,1,1,0,11.583333333333334,14.0,18.189655172413794,0,8.11,21.88,13,A Ashish Reddy,829727,2015-04-16,2015
15.0,13.1,136.008,125.61600000000001,10,11.692307692307692,9.757618106439251,7,2,1,0,13.0,10.5,18.189655172413794,0,7.53,20.22,15,A Ashish Reddy,829731,2015-04-18,2015
16.6,13.2,153.508,132.699,11,11.928571428571429,9.772978620211502,7,1,1,0,11.928571428571429,7.0,20.727272727272727,0,8.41,21.56,22,A Ashish Reddy,829759,2015-04-27,2015
13.8,15.1,163.50799999999998,152.69899999999998,12,12.6,9.409805760186787,6,1,1,0,8.666666666666666,36.0,20.222816399286987,0,7.49,17.73,6,A Ashish Reddy,829773,2015-05-02,2015
12.2,14.1,158.054,144.921,13,12.1875,9.8257032544467,8,1,1,1,8.0,12.1875,20.222816399286987,0,8.2,19.79,17,A Ashish Reddy,829815,2015-05-17,2015
14.6,15.4,164.05400000000003,148.254,14,12.470588235294118,9.179687721631202,7,2,1,0,3.0,8.5,22.204951856946355,0,8.31,18.62,32,A Ashish Reddy,980907,2016-04-12,2016
18.4,16.7,170.722,153.365,15,13.555555555555555,10.56251232740898,7,1,1,1,9.8,4.0,20.222816399286987,0,7.78,18.04,13,A Ashish Reddy,980915,2016-04-16,2016
